District Name,County,Affordability & Value Score,Performance Index Score 2023-2024,Median Home Value,MEDIAN OHIO ADJUSTED GROSS INCOME,Total Local Tax Burden,Total Students
Nordonia Hills City,Summit,135.13707840692223,96.7,227411.21040723985,52557.0,3.4035776355326064,3293
Buckeye Valley Local,Delaware,134.99023207538238,94.4,352821.5296314011,57791.0,2.2381167554874386,2216
Toronto City,Jefferson,134.80518005559995,83.5,113644.26814756049,37020.0,2.6502938673086818,827
Jonathan Alder Local,Madison,134.6551732817078,94.2,334697.62394669803,52735.0,2.217305392990452,2184
Oakwood City,Montgomery,134.54372259481542,108.2,294238.0261339364,78270.0,5.576864233220199,1993
South Central Local,Huron,134.52673277731552,83.9,184611.97985687782,37837.0,2.2653979595484195,725
Bright Local,Highland,134.30578979537222,87.2,204783.85908512492,35271.5,2.2738700682618385,690
Mason City,Warren,134.258754699039,103.1,345126.5379139133,67860.5,3.469287735987272,9959
Norwalk City,Huron,134.1475972562699,86.7,141359.2906362796,38023.0,2.607777993391897,2435
Fairfield Union Local,Fairfield,133.82779138006143,88.8,201213.1128551157,43960.0,2.457396697289117,1901
Teays Valley Local,Pickaway,133.6126493020669,90.2,218094.30545813526,53336.0,2.232388767530981,4420
Evergreen Local,Fulton,133.3240242164052,96.7,227996.06985280488,44488.5,2.578099230310833,1148
Triway Local,Wayne,133.28876033610717,93.9,209771.72710810945,40876.0,3.054116932775973,1405
Bryan City,Williams,133.2290056810991,89.0,160944.48943439202,37270.0,2.8616947510004263,1747
Manchester Local,Summit,133.13599339321615,96.0,190036.78212290502,47159.0,3.598909547235068,1186
Otsego Local,Wood,133.0640666993189,87.6,212978.64106439092,49002.0,2.3539995975065238,1534
Millcreek-West Unity Local,Williams,133.02677091931528,86.1,181181.87403993856,38229.0,2.3703465061769133,504
Tri-Valley Local,Muskingum,132.98939042593923,91.5,208188.504423389,42754.5,2.6347668724214075,2810
Old Fort Local,Seneca,132.95275080480607,90.8,199134.85853999303,40677.0,2.670140129950291,645
Copley-Fairlawn City,Summit,132.9390932697125,97.6,267689.6212847555,54408.0,3.0569626621027317,2678
Avon Lake City,Lorain,132.86377016263253,102.0,314190.24138042465,61282.0,3.4200111609005592,3489
Paulding Exempted Village,Paulding,132.2888087818244,82.7,144812.5038402458,38540.0,2.410737018075005,1339
